id,country,city,category,instruction,input,response,attractions,best_time,halal_info,budget_level,suggested_days,tags
1,Uzbekistan,Tashkent,Conversation,I have 7 days and want to explore Uzbekistan.,,Nice — do you want a city-focused or nature-focused itinerary?,Gur-e-Amir; Shah-i-Zinda; Ark Fortress,"April–June, September–October",halal available,luxury,5,"nature, family, adventure"
2,Uzbekistan,Tashkent,Q&A,"Are there halal restaurants in Tashkent, Uzbekistan?",,"Yes, Tashkent has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Shah-i-Zinda; Registan; Ark Fortress,"April–June, September–October",halal available,luxury,7,"budget, nature, adventure"
3,Turkmenistan,Turkmenbashi,Conversation,"Hi, I want to plan a trip to Turkmenistan.",,"Great! Do you prefer culture, nature, or adventure?",Ruins of Merv; Kunya-Urgench; Yangykala Canyon,"April–June, September–October",halal available,budget,10,"halal, history, budget"
4,Tajikistan,Dushanbe,Q&A,"Recommend a 3-day itinerary for Dushanbe, Tajikistan.",,Day 1: Explore the city highlights in Dushanbe. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on interests.,Ancient Penjikent; Fann Mountains; Iskanderkul,May–September,halal available,luxury,1,"budget, history, family"
5,Kyrgyzstan,Jalal-Abad,Conversation,I am looking for halal food in Jalal-Abad.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Fairy Tale Canyon; Issyk-Kul Lake; Burana Tower,June–September,halal available,luxury,2,"family, history, nature"
6,Uzbekistan,Khiva,Q&A,What outdoor activities are popular in Uzbekistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Ark Fortress; Gur-e-Amir; Itchan Kala,"April–June, September–October",halal available,luxury,3,"nature, family, halal"
7,Kazakhstan,Aktau,Conversation,I have 7 days and want to explore Kazakhstan.,,Nice — do you want a city-focused or nature-focused itinerary?,Big Almaty Lake; Aksu-Zhabagly; Medeu Skating Rink,May–September,limited halal options,luxury,7,"adventure, halal, food"
8,Uzbekistan,Samarkand,Conversation,I am looking for halal food in Samarkand.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Itchan Kala; Ark Fortress; Registan,"April–June, September–October",halal available,luxury,7,"halal, nature, luxury"
9,Tajikistan,Istaravshan,Conversation,Can you help me plan a family trip to Istaravshan?,,Sure — how many family members and ages?,Pamir Mountains; Fann Mountains; Iskanderkul,May–September,halal available,luxury,5,"family, halal, luxury"
10,Tajikistan,Panjakent,Q&A,"Are there halal restaurants in Panjakent, Tajikistan?",,"Yes, Panjakent has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Pamir Mountains; Rudaki Park; Iskanderkul,May–September,halal available,budget,2,"food, budget, halal"
11,Tajikistan,Panjakent,Q&A,Is Tajikistan safe for solo female travelers?,,Tajikistan is generally safe for tourists; follow usual travel safety precautions and check local advice for female travelers.,Ancient Penjikent; Rudaki Park; Fann Mountains,May–September,halal available,luxury,10,"history, halal, budget"
