Country,City,Package Type,Days/Nights,Flights (PKR),Hotel (PKR),Food (PKR),Transport (PKR),Attractions (PKR),Shopping (PKR),Misc & Insurance (PKR),Total (PKR)
Azerbaijan,Baku,Budget,3D/2N,120000,18000,12000,6000,8000,6000,4000,174000
Azerbaijan,Baku,Mid-Range,5D/4N,160000,60000,25000,15000,20000,20000,10000,310000
Azerbaijan,Baku,Luxury,7D/6N,220000,180000,60000,35000,50000,70000,25000,640000
Azerbaijan,Sheki,Budget,3D/2N,120000,14000,10000,8000,7000,5000,3000,167000
Azerbaijan,Sheki,Mid-Range,5D/4N,160000,50000,20000,12000,18000,18000,10000,288000
Azerbaijan,Sheki,Luxury,7D/6N,220000,160000,50000,30000,45000,60000,25000,590000
Azerbaijan,Gabala,Budget,3D/2N,120000,16000,10000,8000,7000,5000,4000,170000
Azerbaijan,Gabala,Mid-Range,5D/4N,160000,55000,22000,13000,18000,17000,10000,295000
Azerbaijan,Gabala,Luxury,7D/6N,220000,170000,50000,30000,45000,60000,25000,600000
Kazakhstan,Almaty,Budget,4D/3N,98000,18000,9000,8000,6000,10000,5000,154000
Kazakhstan,Almaty,Mid-Range,6D/5N,98000,75000,30000,15000,25000,40000,12000,295000
Kazakhstan,Almaty,Luxury,8D/7N,160000,280000,80000,60000,90000,90000,60000,820000
Kazakhstan,Astana,Budget,4D/3N,98000,20000,9000,8000,8000,12000,5000,160000
Kazakhstan,Astana,Mid-Range,6D/5N,98000,80000,32000,18000,28000,42000,12000,310000
Kazakhstan,Astana,Luxury,8D/7N,160000,300000,90000,60000,100000,90000,60000,860000
Kazakhstan,Shymkent,Budget,4D/3N,98000,16000,9000,8000,6000,10000,5000,152000
Kazakhstan,Shymkent,Mid-Range,6D/5N,98000,70000,30000,15000,25000,38000,12000,288000
Kazakhstan,Shymkent,Luxury,8D/7N,160000,270000,80000,60000,85000,90000,60000,805000
Uzbekistan,Tashkent,Budget,4D/3N,62000,15000,10000,6000,6000,8000,5000,112000
Uzbekistan,Tashkent,Mid-Range,6D/5N,62000,75000,30000,15000,20000,25000,13000,240000
Uzbekistan,Tashkent,Luxury,8D/7N,120000,260000,70000,50000,60000,80000,40000,680000
Uzbekistan,Samarkand,Budget,4D/3N,62000,14000,10000,7000,8000,10000,5000,116000
Uzbekistan,Samarkand,Mid-Range,6D/5N,62000,80000,32000,15000,25000,30000,15000,259000
Uzbekistan,Samarkand,Luxury,8D/7N,120000,280000,75000,50000,70000,90000,40000,725000
Uzbekistan,Bukhara,Budget,4D/3N,62000,13000,9000,6000,8000,10000,5000,113000
Uzbekistan,Bukhara,Mid-Range,6D/5N,62000,75000,30000,15000,22000,28000,15000,247000
Uzbekistan,Bukhara,Luxury,8D/7N,120000,260000,70000,50000,65000,85000,40000,690000
Kyrgyzstan,Bishkek,Budget,4D/3N,85000,15000,10000,7000,8000,10000,5000,140000
Kyrgyzstan,Bishkek,Mid-Range,6D/5N,85000,75000,30000,15000,25000,30000,12000,272000
Kyrgyzstan,Bishkek,Luxury,8D/7N,140000,260000,75000,55000,80000,85000,50000,745000
Kyrgyzstan,Osh,Budget,4D/3N,85000,14000,9000,7000,7000,9000,5000,136000
Kyrgyzstan,Osh,Mid-Range,6D/5N,85000,70000,28000,14000,22000,28000,12000,259000
Kyrgyzstan,Osh,Luxury,8D/7N,140000,240000,70000,55000,75000,80000,50000,710000
Kyrgyzstan,Karakol,Budget,4D/3N,85000,13000,9000,8000,9000,9000,5000,138000
Kyrgyzstan,Karakol,Mid-Range,6D/5N,85000,72000,30000,16000,28000,30000,12000,273000
Kyrgyzstan,Karakol,Luxury,8D/7N,140000,250000,75000,60000,90000,85000,50000,750000
Tajikistan,Dushanbe,Budget,4D/3N,90000,15000,10000,7000,8000,10000,5000,145000
Tajikistan,Dushanbe,Mid-Range,6D/5N,90000,75000,30000,18000,30000,30000,15000,288000
Tajikistan,Dushanbe,Luxury,8D/7N,160000,260000,80000,70000,100000,90000,60000,820000
Tajikistan,Khujand,Budget,4D/3N,90000,14000,9000,7000,7000,9000,5000,141000
Tajikistan,Khujand,Mid-Range,6D/5N,90000,70000,28000,17000,28000,28000,14000,275000
Tajikistan,Khujand,Luxury,8D/7N,160000,250000,75000,65000,95000,85000,55000,785000
Tajikistan,Khorog,Budget,4D/3N,90000,13000,9000,10000,12000,8000,6000,148000
Tajikistan,Khorog,Mid-Range,6D/5N,90000,75000,32000,30000,60000,30000,18000,335000
Tajikistan,Khorog,Luxury,9D/8N,160000,300000,90000,120000,180000,100000,70000,1020000
Turkmenistan,Ashgabat,Budget,4D/3N,150000,45000,15000,20000,40000,15000,25000,310000
Turkmenistan,Ashgabat,Mid-Range,6D/5N,150000,110000,35000,60000,150000,40000,35000,580000
Turkmenistan,Ashgabat,Luxury,8D/7N,220000,300000,90000,120000,250000,100000,70000,1150000
Turkmenistan,Turkmenbashi,Budget,4D/3N,150000,40000,15000,25000,45000,15000,25000,315000
Turkmenistan,Turkmenbashi,Mid-Range,6D/5N,150000,120000,35000,70000,180000,45000,35000,635000
Turkmenistan,Turkmenbashi,Luxury,8D/7N,220000,320000,90000,130000,280000,120000,80000,1240000
Turkmenistan,Mary,Budget,4D/3N,150000,38000,14000,25000,40000,14000,25000,306000
Turkmenistan,Mary,Mid-Range,6D/5N,150000,115000,34000,65000,170000,40000,35000,609000
Turkmenistan,Mary,Luxury,8D/7N,220000,300000,90000,130000,260000,110000,80000,1190000
